information_date,forecast_date,probability_up,probability_down,signal,confidence,actual_direction,actual_return,correct,logistic_regression_probability_up,random_forest_probability_up,gradient_boosting_probability_up,position,trading_cost,strategy_return,strategy_growth,strategy_equity,buy_hold_growth,buy_hold_equity
2026-06-17,2026-06-18,0.4823489567028113,0.5176510432971887,DOWN,0.5176510432971887,UP,0.011655048612615904,False,0.4259057583484472,0.4942958802831746,0.4772695089935394,0.0,0.0,0.0,1.0,10000.0,1.011655048612616,10116.55048612616
2026-06-18,2026-06-22,0.5941561841847556,0.4058438158152444,UP,0.5941561841847556,DOWN,-0.04986008250517615,False,0.5030026367325919,0.5756578107213566,0.6615374469289413,1.0,0.001,-0.05086008250517615,0.9491399174948238,9491.39917494824,0.9612138444220129,9612.138444220129
2026-06-22,2026-06-23,0.5105886145449777,0.4894113854550223,UP,0.5105886145449777,DOWN,-0.01015210440209613,False,0.4079858542246511,0.4768924673933951,0.6121818289549186,1.0,0.001,-0.01115210440209613,0.9385550100427247,9385.550100427246,0.9514555011207004,9514.555011207005
2026-06-23,2026-06-24,0.4682146829676578,0.5317853170323422,DOWN,0.5317853170323422,DOWN,-0.0024268232341632112,True,0.43547647718744226,0.4623395946527917,0.49087759485746196,0.0,0.0,0.0,0.9385550100427247,9385.550100427246,0.9491464868043084,9491.464868043084
2026-06-24,2026-06-25,0.4640114469628257,0.5359885530371743,DOWN,0.5359885530371743,DOWN,-0.0045759131476235115,True,0.5000794744301601,0.4801691280489682,0.41967340896809596,0.0,0.0,0.0,0.9385550100427247,9385.550100427246,0.9448032749163199,9448.0327491632
2026-06-25,2026-06-26,0.34714833899679637,0.6528516610032036,DOWN,0.6528516610032036,DOWN,-0.018387527170465212,True,0.39746069568963927,0.4278331271849719,0.16900797705616438,0.0,0.0,0.0,0.9385550100427247,9385.550100427246,0.9274306790280515,9274.306790280516
2026-06-26,2026-06-29,0.3579802071374424,0.6420197928625576,DOWN,0.6420197928625576,UP,0.04819342168436691,False,0.3367736175947886,0.4118815315502227,0.25724642149276644,0.0,0.0,0.0,0.9385550100427247,9385.550100427246,0.9721267368254691,9721.267368254692
2026-06-29,2026-06-30,0.4864038260810136,0.5135961739189864,DOWN,0.5135961739189864,UP,0.010518878226792872,False,0.39897035131759373,0.48408077718783676,0.5201944154551741,0.0,0.0,0.0,0.9385550100427247,9385.550100427246,0.9823524195911457,9823.524195911457
2026-06-30,2026-07-01,0.525556442631631,0.47444355736836896,UP,0.525556442631631,UP,0.010745155973800768,True,0.5194266751256669,0.5203388937412279,0.5380347962477587,1.0,0.001,0.009745155973800768,0.947701375005583,9477.01375005583,0.9929079495608931,9929.079495608932
2026-07-01,2026-07-02,0.5307247714978531,0.46927522850214687,UP,0.5307247714978531,DOWN,-0.0035989807140492935,False,0.4747188067199422,0.5317036665234949,0.54743563637254,1.0,0.001,-0.0045989807140492936,0.9433429146592544,9433.429146592543,0.9893344929995972,9893.344929995972
